907
44
740
568,217
358,452
544,237
216,340
556,627
175,382
248,673
486,115
823,128
753,6
230,559
745,721
834,2
60,562
315,55
51,367
114,293
871,280
718,153
284,13
304,662
276,24
138,234
810,351
723,25
497,562
479,164
24,353
525,696
716,670
845,179
327,126
114,876
891,588
551,713
493,147
273,121
837,21
422,325
155,873
166,671
284,709
143,737
692,262
55,291
374,142
243,709
292,123
176,754
476,253
133,615
354,40
512,701
229,540
724,705
836,681
879,203
583,373
444,217
410,139
607,836
327,154
352,172
536,107
633,857
615,171
761,502
318,524
335,172
327,747
724,335
282,277
15,889
728,101
179,207
448,415
450,147
433,637
559,194
601,163
26,174
873,386
296,403
561,246
827,70
830,900
769,623
299,881
96,750
152,421
253,344
391,722
140,35
883,548
22,461
49,814
691,359
848,568
527,694
866,320
310,122
80,561
153,192
562,645
495,869
537,187
764,736
132,125
585,609
776,199
9,298
471,149
164,570
596,513
723,377
704,312
25,257
125,221
667,413
565,813
576,328
170,225
855,208
99,641
203,760
778,45
9,468
187,819
306,161
666,149
334,514
345,757
82,487
859,651
52,634
687,117
709,654
573,274
703,618
27,498
141,597
898,29
545,370
82,128
300,423
876,820
5,418
405,750
878,182
899,671
331,305
48,551
422,400
630,347
370,354
108,531
93,379
692,388
182,65
246,554
470,385
872,704
720,606
743,702
218,164
428,556
883,112
654,763
552,24
367,517
674,367
366,554
222,128
864,834
530,42
889,488
167,772
322,317
767,654
280,747
424,146
484,764
597,516
197,144
308,810
680,405
764,621
592,712
228,252
249,723
508,513
246,161
754,732
261,420
757,717
830,573
255,517
414,286
341,523
186,17
700,481
342,293
168,657
298,229
293,207
214,136
762,244
403,42
444,794
436,27
886,870
795,91
53,466
28,736
428,661
82,251
38,622
724,493
200,221
464,318
410,42
540,562
669,61
516,119
457,324
288,434
550,279
173,487
269,666
891,809
819,331
719,147
94,875
181,432
79,588
881,328
250,404
578,770
99,413
601,759
183,13
343,199
297,361
790,834
80,415
337,187
43,215
635,435
493,780
31,554
738,765
199,70
74,8
209,856
85,493
312,212
264,6
109,336
604,671
719,905
525,500
355,80
674,809
571,147
233,904
429,811
174,786
801,450
893,143
222,470
726,226
192,601
705,135
678,523
308,616
622,663
1,657
278,126
460,431
130,707
140,47
824,679
366,126
876,879
198,875
122,10
615,519
551,812
655,11
715,106
439,847
195,614
330,594
801,135
172,70
566,764
108,626
862,235
747,817
127,526
333,364
824,804
269,469
829,410
874,62
81,754
644,717
275,426
283,416
387,657
455,442
413,596
268,469
752,534
582,721
266,174
114,32
289,900
667,671
746,43
476,831
825,231
297,238
600,665
699,388
137,376
878,654
545,750
598,569
175,86
750,602
530,826
494,121
372,853
593,286
628,711
761,76
805,706
89,769
803,890
829,607
40,524
27,682
643,606
693,648
161,193
536,657
833,117
543,681
116,550
650,812
46,684
568,27
274,703
412,136
189,632
571,113
243,325
801,209
412,797
723,500
189,797
433,520
309,661
215,887
635,867
609,501
378,239
31,259
616,267
582,549
160,530
608,546
242,738
454,550
301,428
629,512
747,274
148,242
324,362
699,208
533,59
377,655
716,361
737,338
860,300
77,858
407,791
812,119
597,512
330,647
398,887
578,830
782,118
251,523
894,193
828,293
538,809
379,599
846,246
744,54
360,258
844,184
108,363
538,705
4,3
349,407
28,812
812,338
572,719
429,692
161,838
222,335
132,283
513,242
363,311
182,733
399,291
804,724
611,59
352,754
431,263
601,352
875,160
620,521
749,830
138,232
84,705
147,392
900,545
372,847
504,757
389,413
680,758
118,5
636,596
241,730
531,800
25,86
317,766
772,840
54,164
859,578
238,165
201,334
286,874
661,174
94,139
722,340
751,107
898,330
392,773
86,430
121,657
714,248
438,352
2,324
513,654
461,108
107,259
354,809
455,725
670,635
185,154
124,827
898,542
449,171
256,230
215,697
216,843
175,537
315,905
643,385
819,641
658,783
897,16
500,854
309,220
224,883
759,388
895,642
708,363
304,777
301,607
657,384
345,770
177,765
166,873
725,752
276,776
410,83
285,214
149,527
756,328
801,694
224,521
508,789
622,453
412,852
832,178
704,695
704,426
82,336
442,610
510,734
690,381
298,504
478,892
846,462
417,124
895,526
270,621
241,194
846,382
19,66
742,300
156,293
882,736
518,900
32,25
851,258
84,863
849,489
700,795
558,742
672,84
880,723
864,807
75,377
636,148
631,509
121,152
664,682
28,449
110,289
898,3
503,801
280,881
100,833
248,751
521,335
390,682
795,213
163,719
634,866
124,18
817,350
813,840
340,161
779,6
211,499
849,423
381,421
694,541
449,673
682,531
668,131
815,598
731,546
734,622
451,197
50,182
710,227
894,146
824,634
219,670
866,799
599,184
44,343
865,412
344,128
715,895
769,218
552,779
508,860
478,197
319,870
689,164
100,343
635,470
415,135
545,72
241,247
662,183
406,8
880,362
637,658
236,415
772,188
368,832
12,778
616,640
706,256
427,811
640,600
792,652
875,753
447,369
628,143
180,475
578,132
81,276
137,620
305,830
63,730
631,272
567,73
565,38
66,544
555,56
417,700
555,712
549,508
10,778
275,375
346,506
455,501
608,735
723,151
33,651
7,537
671,114
257,895
725,650
12,306
779,457
336,728
849,596
718,362
416,266
743,142
466,643
437,497
565,394
269,812
227,833
770,837
703,611
411,390
12,511
578,835
662,545
204,870
256,391
629,518
424,528
52,250
504,411
235,677
467,209
646,282
266,739
490,513
652,389
894,70
327,436
244,713
855,390
906,349
179,637
73,731
313,253
457,65
667,857
604,72
286,194
484,670
794,702
130,347
387,667
712,181
181,867
681,51
130,388
70,692
42,629
474,370
648,699
44,120
421,290
720,884
283,52
878,578
288,527
659,134
165,218
751,724
558,541
323,58
44,22
638,242
765,54
354,670
268,851
832,419
764,309
549,394
10,440
904,636
764,446
596,840
853,398
778,57
213,194
70,746
84,719
489,492
407,346
880,272
212,428
873,704
592,90
270,760
800,895
429,26
518,44
758,753
713,476
520,749
131,90
50,279
511,198
778,839
530,796
582,412
64,545
3,360
232,242
663,484
682,602
183,141
872,773
884,406
268,577
487,656
131,232
96,60
398,10
675,45
455,92
65,143
79,622
111,120
216,12
103,94
807,508
453,208
887,58
45,471
316,35
601,195
37,836
397,865
384,737
234,277
36,707
9,357
839,522
240,332
313,20
589,875
848,361
443,9
334,773
355,322
110,761
7,663
132,34
487,511
702,203
266,787
237,212
722,322
510,52
242,785
819,46
573,607
115,582
292,664
658,454
116,561
722,424
595,507
437,86
386,360
589,335
308,88
85,850
194,817
354,103
105,627
25,492
26,219
285,508
841,843
401,366
525,419
147,495
616,430
320,826
251,505
808,735
699,767
302,229
430,233
863,556
652,501
863,557
100,204
369,375
534,592
171,303
326,456
235,504
55,628
708,811
427,52
818,899
270,419
123,17
800,694
343,677
625,573
171,187
713,468
217,672
20,817
277,299
